"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"1","Frontier Works","https://myanimelist.net/anime/producer/61/Frontier_Works","2002-08-01","163"
"2","Media Factory","https://myanimelist.net/anime/producer/108/Media_Factory","2013-10-01","157"
"3","Movic","https://myanimelist.net/anime/producer/166/Movic","1983-10-01","446"
"4","AT-X","https://myanimelist.net/anime/producer/238/AT-X","2000-06-26","423"
"5","Madhouse","https://myanimelist.net/anime/producer/11/Madhouse","1972-10-01","386"
"6","TV Tokyo","https://myanimelist.net/anime/producer/16/TV_Tokyo","1964-04-12","596"
"7","Kadokawa Shoten","https://myanimelist.net/anime/producer/113/Kadokawa_Shoten","1954-04-02","214"
"8","Magic Capsule","https://myanimelist.net/anime/producer/306/Magic_Capsule","null","143"
"9","Memory-Tech","https://myanimelist.net/anime/producer/647/Memory-Tech","2010-12-01","50"
"10","Hakuhodo DY Music & Pictures","https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures","2003-10-01","117"
"11","White Fox","https://myanimelist.net/anime/producer/314/White_Fox","2007-04-01","48"
"12","Half H.P Studio","https://myanimelist.net/anime/producer/213/Half_HP_Studio","1984-02-01","129"
"13","Nippon Columbia","https://myanimelist.net/anime/producer/323/Nippon_Columbia","null","150"
"14","KlockWorx","https://myanimelist.net/anime/producer/460/KlockWorx","1997-01-24","314"
"15","Sony Music Communications","https://myanimelist.net/anime/producer/737/Sony_Music_Communications","1987-08-21","62"
"16","Toranoana","https://myanimelist.net/anime/producer/882/Toranoana","1996-07-22","24"
"17","81 Produce","https://myanimelist.net/anime/producer/1185/81_Produce","1981-02-03","28"
"18","Kadokawa Media House","https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House","1983-06-08","98"
"19","Kadokawa","https://myanimelist.net/anime/producer/1696/Kadokawa","2014-10-01","380"
"20","Studio Deen","https://myanimelist.net/anime/producer/37/Studio_Deen","1975-03-14","319"
"21","Grooove","https://myanimelist.net/anime/producer/1254/Grooove","null","19"
"22","Glovision","https://myanimelist.net/anime/producer/1255/Glovision","1963-01-01","60"
"23","Good Smile Company","https://myanimelist.net/anime/producer/1261/Good_Smile_Company","2001-05-01","105"
"24","Sammy","https://myanimelist.net/anime/producer/1345/Sammy","1975-11-01","64"
"25","Crunchyroll","https://myanimelist.net/anime/producer/1468/Crunchyroll","2006-09-01","233"
"26","NTT Plala","https://myanimelist.net/anime/producer/1614/NTT_Plala","1995-12-18","19"
"27","Kinema Citrus","https://myanimelist.net/anime/producer/290/Kinema_Citrus","2008-03-03","60"
"28","Sotsu","https://myanimelist.net/anime/producer/64/Sotsu","1965-10-01","333"
"29","Lantis","https://myanimelist.net/anime/producer/104/Lantis","1999-11-26","493"
"30","Pony Canyon","https://myanimelist.net/anime/producer/144/Pony_Canyon","1966-10-01","414"
"31","ASCII Media Works","https://myanimelist.net/anime/producer/681/ASCII_Media_Works","2013-10-01","76"
"32","Showgate","https://myanimelist.net/anime/producer/777/Showgate","2003-06-01","123"
"33","Infinite","https://myanimelist.net/anime/producer/1386/Infinite","2010-09-01","26"
"34","Kodansha","https://myanimelist.net/anime/producer/159/Kodansha","1909-11-01","319"
"35","BS11","https://myanimelist.net/anime/producer/1416/BS11","1999-08-23","164"
"36","Bandai Namco Arts","https://myanimelist.net/anime/producer/1840/Bandai_Namco_Arts","1983-08-23","85"
