"ID","NOMBRE","LINK","DESCRIPCION","SERIES"
"1","Isekai Anime","https://myanimelist.net/anime/genre/62/Isekai","Descripcion generica","337"
"2","Strategy Game Anime","https://myanimelist.net/anime/genre/11/Strategy_Game","Descripcion generica","322"
"3","Psychological Anime","https://myanimelist.net/anime/genre/40/Psychological","Descripcion generica","418"
"4","Time Travel Anime","https://myanimelist.net/anime/genre/78/Time_Travel","Descripcion generica","143"
"5","Parody Anime","https://myanimelist.net/anime/genre/20/Parody","Descripcion generica","748"
"6","Reincarnation Anime","https://myanimelist.net/anime/genre/72/Reincarnation","Descripcion generica","132"
"7","Shounen Anime","https://myanimelist.net/anime/genre/27/Shounen","Descripcion generica","1914"
"8","Military Anime","https://myanimelist.net/anime/genre/38/Military","Descripcion generica","701"
"9","Harem Anime","https://myanimelist.net/anime/genre/35/Harem","Descripcion generica","458"
"10","School Anime","https://myanimelist.net/anime/genre/23/School","Descripcion generica","2005"
"11","Adult Cast Anime","https://myanimelist.net/anime/genre/50/Adult_Cast","Descripcion generica","558"
"12","Gore Anime","https://myanimelist.net/anime/genre/58/Gore","Descripcion generica","248"
"13","Historical Anime","https://myanimelist.net/anime/genre/13/Historical","Descripcion generica","1520"
"14","Samurai Anime","https://myanimelist.net/anime/genre/21/Samurai","Descripcion generica","233"
"15","Seinen Anime","https://myanimelist.net/anime/genre/42/Seinen","Descripcion generica","995"
"16","Mecha Anime","https://myanimelist.net/anime/genre/18/Mecha","Descripcion generica","1272"
"17","Mythology Anime","https://myanimelist.net/anime/genre/6/Mythology","Descripcion generica","636"
"18","Reverse Harem Anime","https://myanimelist.net/anime/genre/73/Reverse_Harem","Descripcion generica","75"
"19","Shoujo Anime","https://myanimelist.net/anime/genre/25/Shoujo","Descripcion generica","476"
"20","Super Power Anime","https://myanimelist.net/anime/genre/31/Super_Power","Descripcion generica","699"
"21","Anthropomorphic Anime","https://myanimelist.net/anime/genre/51/Anthropomorphic","Descripcion generica","928"
"22","Kids Anime","https://myanimelist.net/anime/genre/15/Kids","Descripcion generica","6292"
"23","CGDCT Anime","https://myanimelist.net/anime/genre/52/CGDCT","Descripcion generica","234"
"24","Otaku Culture Anime","https://myanimelist.net/anime/genre/69/Otaku_Culture","Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.","92"
"25","Fantasy Anime","https://myanimelist.net/anime/genre/10/Fantasy","Magical powers, unnatural creatures, or other unreal elements which cannot be explained by science are prevalent and normal to the setting they exist in. Fantasy stories can take place on Earth (urban fantasy) or in another world.  Character traits (e.g. magician vs demon/spirit) and setting do not determine if a story is Fantasy. If majority of the cast has magical or supernatural powers (e.g. one normal highschool boy surrounded by five goddesses), then the story is Fantasy. If only a few characters have powers and most of the cast would be in disbelief to discover this (e.g. one man is an exorcist and the rest are normal adults), then the story is Supernatural. Sometimes a story can be both Fantasy and Supernatural, but this is rare.  When searching for High Fantasy stories, excluding lower fantasy themes (e.g. Mythology, Superpower) can help refine your search.","5543"
"26","Survival Anime","https://myanimelist.net/anime/genre/76/Survival","Descripcion generica","93"
"27","Workplace Anime","https://myanimelist.net/anime/genre/48/Workplace","Descripcion generica","183"
"28","Medical Anime","https://myanimelist.net/anime/genre/67/Medical","Descripcion generica","44"
"29","Magical Sex Shift Anime","https://myanimelist.net/anime/genre/65/Magical_Sex_Shift","One or more main characters in these stories identify as their biological sex, but their body is suddenly changed to the opposite sex through magical means. This Magical Sex Switch may be temporary, irreversible, or allow the character to change back and forth between the two. Since the character's original identity is not lost, coming to terms with the magical sex switch or finding a method to change back should play a central role in the plot.  Trading bodies between opposite sexes is Body Swap themed. Dying or being killed, and then being reborn as the opposite sex, is Reincarnation.","30"
"30","Josei Anime","https://myanimelist.net/anime/genre/43/Josei","Descripcion generica","153"
"31","Love Polygon Anime","https://myanimelist.net/anime/genre/64/Love_Polygon","Descripcion generica","90"
