"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"1","TBS","https://myanimelist.net/anime/producer/145/TBS","2000-03-21","251"
"2","RAY","https://myanimelist.net/anime/producer/1581/RAY","1981-06-01","39"
"3","Nomad","https://myanimelist.net/anime/producer/70/Nomad","2003-07-01","37"
"4","Shogakukan-Shueisha Productions","https://myanimelist.net/anime/producer/62/Shogakukan-Shueisha_Productions","1967-06-26","187"
"5","Kitty Films","https://myanimelist.net/anime/producer/99/Kitty_Films","1982-03-24","45"
"6","Fuji TV","https://myanimelist.net/anime/producer/169/Fuji_TV","1959-03-01","389"
"7","Shogakukan","https://myanimelist.net/anime/producer/1430/Shogakukan","null","117"
"8","Studio Deen","https://myanimelist.net/anime/producer/37/Studio_Deen","1975-03-14","319"
"9","TV Tokyo","https://myanimelist.net/anime/producer/16/TV_Tokyo","1964-04-12","589"
"10","bilibili","https://myanimelist.net/anime/producer/1414/bilibili","2009-06-01","220"
"11","Cygames","https://myanimelist.net/anime/producer/1587/Cygames","2011-05-01","38"
"12","Bit grooove promotion","https://myanimelist.net/anime/producer/2074/Bit_grooove_promotion","2012-05-02","55"
"13","Bushiroad Move","https://myanimelist.net/anime/producer/2228/Bushiroad_Move","2016-09-29","13"
"14","Music Brains","https://myanimelist.net/anime/producer/2384/Music_Brains","null","1"
"15","OLM Team Yoshioka","https://myanimelist.net/anime/producer/2326/OLM_Team_Yoshioka","null","3"
"16","Pony Canyon","https://myanimelist.net/anime/producer/144/Pony_Canyon","1966-10-01","411"
"17","DAX Production","https://myanimelist.net/anime/producer/315/DAX_Production","2003-08-01","223"
"18","Daiichikosho","https://myanimelist.net/anime/producer/1215/Daiichikosho","1973-04-16","6"
"19","Production IMS","https://myanimelist.net/anime/producer/1053/Production_IMS","2013-02-14","25"
"20","Toei Video","https://myanimelist.net/anime/producer/141/Toei_Video","1972-11-07","61"
"21","Kodansha","https://myanimelist.net/anime/producer/159/Kodansha","1909-11-01","316"
"22","J.C.Staff","https://myanimelist.net/anime/producer/7/JCStaff","1986-01-18","421"
"23","Movic","https://myanimelist.net/anime/producer/166/Movic","1983-10-01","439"
"24","AT-X","https://myanimelist.net/anime/producer/238/AT-X","2000-06-26","412"
"25","TOHO animation","https://myanimelist.net/anime/producer/1143/TOHO_animation","1932-01-01","143"
"26","Tokyo MX","https://myanimelist.net/anime/producer/1211/Tokyo_MX","1993-04-30","191"
"27","Hakuhodo DY Music & Pictures","https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures","2003-10-01","117"
"28","BS11","https://myanimelist.net/anime/producer/1416/BS11","1999-08-23","156"
"29","Egg Firm","https://myanimelist.net/anime/producer/1444/Egg_Firm","2015-03-10","41"
"30","Ichijinsha","https://myanimelist.net/anime/producer/1582/Ichijinsha","1992-08-20","31"
"31","Pia","https://myanimelist.net/anime/producer/2111/Pia","1974-12-20","8"
"32","Studio Bind","https://myanimelist.net/anime/producer/1993/Studio_Bind","2018-11-01","8"
"33","MAGES.","https://myanimelist.net/anime/producer/963/MAGES","2011-01-01","58"
"34","Kadokawa","https://myanimelist.net/anime/producer/1696/Kadokawa","2014-10-01","374"
"35","Micro Magazine Publishing","https://myanimelist.net/anime/producer/1896/Micro_Magazine_Publishing","1984-07-04","10"
"36","MAGNET","https://myanimelist.net/anime/producer/1996/MAGNET","null","30"
"37","Micro House","https://myanimelist.net/anime/producer/2440/Micro_House","null","4"
"38","Studio A-CAT","https://myanimelist.net/anime/producer/1209/Studio_A-CAT","1996-09-01","17"
"39","Genco","https://myanimelist.net/anime/producer/79/Genco","1997-03-01","195"
"40","KlockWorx","https://myanimelist.net/anime/producer/460/KlockWorx","1997-01-24","309"
"41","Crunchyroll","https://myanimelist.net/anime/producer/1468/Crunchyroll","2006-09-01","220"
"42","My Theater D.D.","https://myanimelist.net/anime/producer/1744/My_Theater_DD","2011-09-16","17"
"43","Pierrot Plus","https://myanimelist.net/anime/producer/1129/Pierrot_Plus","2009-10-01","32"
"44","Aniplex","https://myanimelist.net/anime/producer/17/Aniplex","1995-09-01","594"
"45","Yomiuri Telecasting","https://myanimelist.net/anime/producer/76/Yomiuri_Telecasting","1958-02-13","100"
"46","Chugai Mining","https://myanimelist.net/anime/producer/1336/Chugai_Mining","1932-05-02","8"
"47","Shueisha","https://myanimelist.net/anime/producer/1365/Shueisha","null","312"
"48","Marui Group","https://myanimelist.net/anime/producer/1800/Marui_Group","1937-03-30","20"
"49","Connect","https://myanimelist.net/anime/producer/957/Connect","2012-04-01","25"
"50","Lantis","https://myanimelist.net/anime/producer/104/Lantis","1999-11-26","492"
"51","Bandai Visual","https://myanimelist.net/anime/producer/23/Bandai_Visual","1983-08-23","435"
"52","Studio Hibari","https://myanimelist.net/anime/producer/101/Studio_Hibari","1979-07-01","73"
"53","Suiseisha","https://myanimelist.net/anime/producer/1760/Suiseisha","2015-01-14","24"
"54","blackflag","https://myanimelist.net/anime/producer/2197/blackflag","2011-01-11","3"
"55","Irawias","https://myanimelist.net/anime/producer/2198/Irawias","null","1"
"56","Kitty Film Mitaka Studio","https://myanimelist.net/anime/producer/2256/Kitty_Film_Mitaka_Studio","null","18"
"57","Kadokawa Shoten","https://myanimelist.net/anime/producer/113/Kadokawa_Shoten","1954-04-02","214"
"58","Kadokawa Pictures Japan","https://myanimelist.net/anime/producer/352/Kadokawa_Pictures_Japan","1942-01-01","44"
"59","NTT Docomo","https://myanimelist.net/anime/producer/689/NTT_Docomo","1992-07-01","19"
"60","Zexcs","https://myanimelist.net/anime/producer/218/Zexcs","1998-01-23","77"
"61","TMS Entertainment","https://myanimelist.net/anime/producer/73/TMS_Entertainment","1946-10-01","396"
"62","Sunrise","https://myanimelist.net/anime/producer/14/Sunrise","1976-11-01","574"
"63","Atelier Musa","https://myanimelist.net/anime/producer/1175/Atelier_Musa","1986-06-01","38"
"64","Studio Animal","https://myanimelist.net/anime/producer/999/Studio_Animal","2000-01-01","9"
"65","Magic Bus","https://myanimelist.net/anime/producer/207/Magic_Bus","1972-04-01","97"
"66","Artland","https://myanimelist.net/anime/producer/8/Artland","2010-12-01","53"
