"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"1","Yomiko Advertising","https://myanimelist.net/anime/producer/127/Yomiko_Advertising","1946-07-11","82"
"2","Warner Bros. Japan","https://myanimelist.net/anime/producer/415/Warner_Bros_Japan","1992-05-29","128"
"3","KlockWorx","https://myanimelist.net/anime/producer/460/KlockWorx","1997-01-24","313"
"4","Medicos Entertainment","https://myanimelist.net/anime/producer/1337/Medicos_Entertainment","null","34"
"5","Shueisha","https://myanimelist.net/anime/producer/1365/Shueisha","null","313"
"6","David Production","https://myanimelist.net/anime/producer/287/David_Production","2007-09-01","48"
"7","Aniplex","https://myanimelist.net/anime/producer/17/Aniplex","1995-09-01","598"
"8","Kodansha","https://myanimelist.net/anime/producer/159/Kodansha","1909-11-01","319"
"9","Shaft","https://myanimelist.net/anime/producer/44/Shaft","1975-09-01","152"
"10","Rakuonsha","https://myanimelist.net/anime/producer/211/Rakuonsha","null","77"
"11","NBCUniversal Entertainment Japan","https://myanimelist.net/anime/producer/1113/NBCUniversal_Entertainment_Japan","1981-03-01","103"
"12","Wit Studio","https://myanimelist.net/anime/producer/858/Wit_Studio","2012-06-01","94"
"13","Geneon Universal Entertainment","https://myanimelist.net/anime/producer/31/Geneon_Universal_Entertainment","null","117"
"14","GDH","https://myanimelist.net/anime/producer/42/GDH","2004-07-01","30"
"15","Geneon Entertainment USA","https://myanimelist.net/anime/producer/1459/Geneon_Entertainment_USA","null","180"
"16","Shounen Gahousha","https://myanimelist.net/anime/producer/1553/Shounen_Gahousha","1945-10-01","8"
"17","Madhouse","https://myanimelist.net/anime/producer/11/Madhouse","1972-10-01","386"
"18","Satelight","https://myanimelist.net/anime/producer/41/Satelight","1995-12-01","109"
"19","Asahi Production","https://myanimelist.net/anime/producer/406/Asahi_Production","1973-06-01","64"
"20","Marvy Jack","https://myanimelist.net/anime/producer/553/Marvy_Jack","2003-10-01","9"
"21","Graphinica","https://myanimelist.net/anime/producer/894/Graphinica","2009-04-22","34"
"22","Studio Kelmadick","https://myanimelist.net/anime/producer/909/Studio_Kelmadick","2006-12-01","8"
"23","Nihon Ad Systems","https://myanimelist.net/anime/producer/139/Nihon_Ad_Systems","1975-10-01","160"
"24","Mainichi Broadcasting System","https://myanimelist.net/anime/producer/143/Mainichi_Broadcasting_System","2016-07-28","285"
"25","TOHO animation","https://myanimelist.net/anime/producer/1143/TOHO_animation","1932-01-01","143"
"26","Toy's Factory","https://myanimelist.net/anime/producer/1390/Toys_Factory","1990-05-30","73"
"27","Sony PCL","https://myanimelist.net/anime/producer/1516/Sony_PCL","1951-03-16","33"
"28","Bones","https://myanimelist.net/anime/producer/4/Bones","1998-10-01","159"
"29","Fuji TV","https://myanimelist.net/anime/producer/169/Fuji_TV","1959-03-01","390"
"30","Pioneer LDC","https://myanimelist.net/anime/producer/204/Pioneer_LDC","1989-01-01","68"
"31","Gonzo","https://myanimelist.net/anime/producer/3/Gonzo","2000-02-29","143"
"32","Kadokawa Shoten","https://myanimelist.net/anime/producer/113/Kadokawa_Shoten","1954-04-02","214"
"33","flying DOG","https://myanimelist.net/anime/producer/464/flying_DOG","1997-02-03","163"
"34","Brain's Base","https://myanimelist.net/anime/producer/112/Brains_Base","1996-07-01","109"
"35","Happinet Pictures","https://myanimelist.net/anime/producer/787/Happinet_Pictures","1969-06-07","47"
"36","Atelier Musa","https://myanimelist.net/anime/producer/1175/Atelier_Musa","1986-06-01","38"
"37","Sotsu Music Publishing","https://myanimelist.net/anime/producer/1597/Sotsu_Music_Publishing","2003-11-27","24"
"38","Imagine","https://myanimelist.net/anime/producer/2135/Imagine","1986-11-01","55"
"39","Cyclone Graphics","https://myanimelist.net/anime/producer/1099/Cyclone_Graphics","2002-01-01","10"
"40","Movic","https://myanimelist.net/anime/producer/166/Movic","1983-10-01","445"
"41","AT-X","https://myanimelist.net/anime/producer/238/AT-X","2000-06-26","423"
"42","ASCII Media Works","https://myanimelist.net/anime/producer/681/ASCII_Media_Works","2013-10-01","76"
"43","Showgate","https://myanimelist.net/anime/producer/777/Showgate","2003-06-01","123"
"44","SILVER LINK.","https://myanimelist.net/anime/producer/300/SILVER_LINK","2007-12-01","124"
"45","Connect","https://myanimelist.net/anime/producer/957/Connect","2012-04-01","25"
"46","Kadokawa Pictures Japan","https://myanimelist.net/anime/producer/352/Kadokawa_Pictures_Japan","1942-01-01","44"
"47","Studio Deen","https://myanimelist.net/anime/producer/37/Studio_Deen","1975-03-14","319"
"48","TV Tokyo","https://myanimelist.net/anime/producer/16/TV_Tokyo","1964-04-12","596"
"49","Dentsu","https://myanimelist.net/anime/producer/53/Dentsu","1901-07-01","381"
"50","DAX Production","https://myanimelist.net/anime/producer/315/DAX_Production","2003-08-01","223"
"51","Daume","https://myanimelist.net/anime/producer/39/Daume","1993-05-18","33"
"52","Shogakukan-Shueisha Productions","https://myanimelist.net/anime/producer/62/Shogakukan-Shueisha_Productions","1967-06-26","189"
"53","Animax","https://myanimelist.net/anime/producer/140/Animax","1998-05-20","42"
"54","Ultra Super Pictures","https://myanimelist.net/anime/producer/539/Ultra_Super_Pictures","2011-10-27","57"
"55","Shogakukan","https://myanimelist.net/anime/producer/1430/Shogakukan","null","117"
"56","Fuji Creative","https://myanimelist.net/anime/producer/1556/Fuji_Creative","1971-03-30","13"
"57","Tohan Corporation","https://myanimelist.net/anime/producer/1734/Tohan_Corporation","1949-09-19","8"
"58","LIDENFILMS","https://myanimelist.net/anime/producer/839/LIDENFILMS","2012-02-22","104"
"59","Square Enix","https://myanimelist.net/anime/producer/58/Square_Enix","2008-10-01","151"
"60","Hakuhodo DY Music & Pictures","https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures","2003-10-01","117"
"61","Contents Seed","https://myanimelist.net/anime/producer/1554/Contents_Seed","2012-08-01","26"
"62","Kanetsu Investment","https://myanimelist.net/anime/producer/1677/Kanetsu_Investment","1950-10-01","20"
"63","Christmas Holly","https://myanimelist.net/anime/producer/2223/Christmas_Holly","null","7"
"64","A-1 Pictures","https://myanimelist.net/anime/producer/56/A-1_Pictures","2005-05-09","245"
"65","Production I.G","https://myanimelist.net/anime/producer/10/Production_IG","1987-12-15","444"
"66","Dwango","https://myanimelist.net/anime/producer/715/Dwango","1997-08-01","26"
"67","Frontier Works","https://myanimelist.net/anime/producer/61/Frontier_Works","2002-08-01","163"
"68","Idea Factory","https://myanimelist.net/anime/producer/193/Idea_Factory","1994-10-27","21"
"69","Zexcs","https://myanimelist.net/anime/producer/218/Zexcs","1998-01-23","78"
"70","Glovision","https://myanimelist.net/anime/producer/1255/Glovision","1963-01-01","60"
"71","Crunchyroll","https://myanimelist.net/anime/producer/1468/Crunchyroll","2006-09-01","232"
