ID_SERIE;NOMBRE;LINK;FECHA_CREACION;SERIES
1;Frontier Works;https://myanimelist.net/anime/producer/61/Frontier_Works;2002-08-01;162
1;Media Factory;https://myanimelist.net/anime/producer/108/Media_Factory;2013-10-01;158
1;Movic;https://myanimelist.net/anime/producer/166/Movic;1983-10-01;439
1;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
1;Madhouse;https://myanimelist.net/anime/producer/11/Madhouse;1972-10-01;385
2;TV Tokyo;https://myanimelist.net/anime/producer/16/TV_Tokyo;1964-04-12;589
2;Media Factory;https://myanimelist.net/anime/producer/108/Media_Factory;2013-10-01;158
2;Kadokawa Shoten;https://myanimelist.net/anime/producer/113/Kadokawa_Shoten;1954-04-02;214
2;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
2;Magic Capsule;https://myanimelist.net/anime/producer/306/Magic_Capsule;null;141
2;Memory-Tech;https://myanimelist.net/anime/producer/647/Memory-Tech;2010-12-01;50
2;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
2;White Fox;https://myanimelist.net/anime/producer/314/White_Fox;2007-04-01;48
3;Half H.P Studio;https://myanimelist.net/anime/producer/213/Half_HP_Studio;1984-02-01;127
3;Nippon Columbia;https://myanimelist.net/anime/producer/323/Nippon_Columbia;null;150
3;KlockWorx;https://myanimelist.net/anime/producer/460/KlockWorx;1997-01-24;309
3;Sony Music Communications;https://myanimelist.net/anime/producer/737/Sony_Music_Communications;1987-08-21;62
3;Toranoana;https://myanimelist.net/anime/producer/882/Toranoana;1996-07-22;24
3;81 Produce;https://myanimelist.net/anime/producer/1185/81_Produce;1981-02-03;28
3;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
3;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
3;Studio Deen;https://myanimelist.net/anime/producer/37/Studio_Deen;1975-03-14;319
4;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
4;Grooove;https://myanimelist.net/anime/producer/1254/Grooove;null;19
4;Hakuhodo DY Music & Pictures;https://myanimelist.net/anime/producer/1333/Hakuhodo_DY_Music___Pictures;2003-10-01;117
4;Kadokawa;https://myanimelist.net/anime/producer/1696/Kadokawa;2014-10-01;374
4;Madhouse;https://myanimelist.net/anime/producer/11/Madhouse;1972-10-01;385
5;Frontier Works;https://myanimelist.net/anime/producer/61/Frontier_Works;2002-08-01;162
5;AT-X;https://myanimelist.net/anime/producer/238/AT-X;2000-06-26;412
5;Nippon Columbia;https://myanimelist.net/anime/producer/323/Nippon_Columbia;null;150
5;Glovision;https://myanimelist.net/anime/producer/1255/Glovision;1963-01-01;59
5;Good Smile Company;https://myanimelist.net/anime/producer/1261/Good_Smile_Company;2001-05-01;101
5;Sammy;https://myanimelist.net/anime/producer/1345/Sammy;1975-11-01;61
5;Crunchyroll;https://myanimelist.net/anime/producer/1468/Crunchyroll;2006-09-01;220
5;Kadokawa Media House;https://myanimelist.net/anime/producer/1551/Kadokawa_Media_House;1983-06-08;97
